Id,Category,Title
0,sport,Roddick in talks over new coach
1,entertainment,Prodigy join V Festival line-up
2,entertainment,Sundance to honour foreign films
3,sport,Dunne keen to commit to Man City
4,politics,Row over 'police' power for CSOs
5,politics,Labour's core support takes stock
6,entertainment,France set for new Da Vinci novel
7,sport,Aragones angered by racism fine
8,sport,Keegan hails comeback king Fowler
9,entertainment,Singer Ferguson 'facing eviction'
10,entertainment,Row threatens Hendrix museum plan
11,entertainment,Rock star sued by ex-girlfriend
12,tech,IBM frees 500 software patents
13,entertainment,Actor Foxx sees Globe nominations
14,tech,Britons fed up with net service
15,business,US trade deficit widens sharply
16,business,Fannie Mae 'should restate books'
17,business,Weak data buffets French economy
18,business,Pernod takeover talk lifts Domecq
19,entertainment,Stars gear up for Bafta ceremony
20,tech,Hitachi unveils 'fastest robot'
21,business,Turkey-Iran mobile deal 'at risk'
22,politics,Top Tories on Lib Dem 'hit list'
23,business,Indy buys into India paper
24,business,Ex-Boeing director gets jail term
25,sport,Greek sprinters suspended by IAAF
26,entertainment,UK 'world's biggest music buyer'
27,entertainment,J-Lo and husband plan debut duet
28,entertainment,Housewives lift Channel 4 ratings
29,tech,Cebit opens to mobile music tune
30,tech,Fast lifts rise into record books
31,business,Split-caps pay £194m compensation
32,politics,UK plan to deport terror suspects
33,tech,Gadget market 'to grow in 2005'
34,tech,Games maker fights for survival
35,business,Jobs growth still slow in the US
36,business,Honda wins China copyright ruling
37,politics,Student 'fee factor' played down
38,politics,Blair dismisses quit claim report
39,entertainment,Eminem beats Elvis to number one
40,entertainment,Bening makes awards breakthrough
41,business,Venezuela identifies 'idle' farms
42,entertainment,US TV special for tsunami relief
43,entertainment,Angels 'favourite funeral song'
44,business,Ukraine revisits state sell-offs
45,business,BBC poll indicates economic gloom
46,politics,Guantanamo four questioned
47,politics,Lib Dems 'to target stamp duty'
48,business,US gives foreign firms extra time
49,entertainment,Surprise win for anti-Bush film
50,politics,Council tax rise 'reasonable'
51,entertainment,Hitch holds on to US box office
52,sport,Yachvili savours France comeback
53,tech,Hotspot users gain free net calls
54,sport,O'Sullivan quick to hail Italians
55,entertainment,Hard act to follow for OutKast
56,business,US industrial output growth eases
57,tech,Google launches TV search service
58,tech,How to make a gigapixel picture
59,sport,Davenport hits out at Wimbledon
60,tech,IBM puts cash behind Linux push
61,tech,Format wars could 'confuse users'
62,business,Khodorkovsky quits Yukos shares
63,politics,Iraq advice claim sparks new row
64,politics,Blair sees greater Bush consensus
65,business,Share boost for feud-hit Reliance
66,politics,Boothroyd calls for Lords speaker
67,sport,Unclear future for striker Baros
68,sport,Italy 17-28 Ireland
69,business,Asia shares defy post-quake gloom
70,entertainment,UK TV channel rapped for CSI ad
71,tech,Online games play with politics
72,politics,New drink limit 'would cut toll'
73,tech,Apple laptop is 'greatest gadget'
74,business,Jobs growth still slow in the US
75,tech,Sony PSP tipped as a 'must-have'
76,business,Minister hits out at Yukos sale
77,business,China Aviation seeks rescue deal
78,politics,Blair 'pressing US on climate'
79,sport,Record fails to lift lacklustre meet
80,business,McDonald's to sponsor MTV show
81,business,Khodorkovsky ally denies charges
82,sport,Slovakia seal Hopman Cup success
83,sport,Benitez 'to launch Morientes bid'
84,sport,South Africa sweep top awards
85,entertainment,BBC to pour £9m into new comedy
86,sport,Britain boosted by Holmes double
87,tech,Broadband takes on TV viewing
88,business,Continental 'may run out of cash'
89,business,Karachi stocks hit historic high
90,politics,Plaid MP's cottage arson claim
91,sport,Worcester v Sale (Fri)
92,politics,Howard rebuts asylum criticisms
93,sport,Robertson out to retain Euro lure
94,sport,Serena becomes world number two
95,sport,Chelsea hold Arsenal
96,business,German growth goes into reverse
97,tech,Microsoft debuts security tools
98,politics,UK 'discriminated against Roma'
99,sport,Newry to fight cup exit in courts
100,politics,Burglar defence guidelines issued
101,business,Manufacturing recovery 'slowing'
